Date,Custom Series
2023-01-31,0.731638931949648
2023-02-28,1.4878129945376277
2023-03-31,2.0981268739110788
2023-04-30,1.964954664519477
2023-05-31,1.533525818999512
2023-06-30,0.9933486106152825
2023-07-31,0.3242466680564332
2023-08-31,0.09420394968887781
2023-09-30,-0.18588590472282757
2023-10-31,-0.689345872985331
2023-11-30,-0.1377586886766917
2023-12-31,0.1541788497259701
2024-01-31,-0.1376397707457756
2024-02-29,0.5097361476957514
2024-03-31,0.2792343383367995
2024-04-30,0.2254488919575015
2024-05-31,-0.44300452677426994
2024-06-30,-0.7838417185248313
2024-07-31,-1.223582629579322
2024-08-31,-1.745853102787543
2024-09-30,-1.577071086295783
2024-10-31,-1.099311303306754
2024-11-30,-0.6373882215036015
2024-12-31,0.0900806473478864
2025-01-31,0.9173485463945578
2025-02-28,1.6373180350712713
2025-03-31,2.083015752319514
2025-04-30,1.8301174614722635
2025-05-31,1.925882721098516
2025-06-30,1.20514871584094
2025-07-31,0.6511050623656078
2025-08-31,0.2853736707990048
2025-09-30,0.4665363643399462
2025-10-31,0.0888501299050283
2025-11-30,0.11607519741309733
2025-12-31,0.30369329598458195
2026-01-31,0.7233413248180505
2026-02-28,0.5264195136303872
2026-03-31,0.7749511102423833
2026-04-30,0.2813806892975922
2026-05-31,-0.2638265555324629
2026-06-30,-0.19661313398685787
2026-07-31,-1.382268945550596
2026-08-31,-1.1218878398679037
2026-09-30,-1.365889885507617
2026-10-31,-0.7844922098619886
2026-11-30,-0.08510529342130785
2026-12-31,0.36532311982970633
2027-01-31,1.302000167322674
2027-02-28,2.214466168295621
2027-03-31,2.215978733720337
2027-04-30,2.101331603754053
2027-05-31,2.220078719769269
2027-06-30,1.4645067459342367
2027-07-31,1.0248201595769806
2027-08-31,0.45326920316014263
2027-09-30,0.032841335372071234
2027-10-31,0.20650092691114225
2027-11-30,0.6334213350947224
2027-12-31,0.4579865714558521
2028-01-31,0.9839738532369176
2028-02-29,1.1150215940366586
2028-03-31,0.7833095096747732
2028-04-30,0.9647447122991111
2028-05-31,0.5382471495030454
2028-06-30,-0.5280649294869538
2028-07-31,-0.7653255219066061
2028-08-31,-0.9000423163615631
2028-09-30,-0.7920315775796406
2028-10-31,-0.7146191463291017
2028-11-30,-0.24167117846695696
2028-12-31,0.559654155024692
2029-01-31,1.021889017626351
2029-02-28,2.2280353787170126
2029-03-31,2.745449344736625
2029-04-30,2.2133302803267774
2029-05-31,2.351838916612242
2029-06-30,1.996574843450193
2029-07-31,1.2109957199835408
2029-08-31,0.820395029034806
2029-09-30,0.28113647537074327
2029-10-31,0.6459487125147745
2029-11-30,0.5797928299660153
2029-12-31,0.5525597275658113
2030-01-31,0.8998119841413272
2030-02-28,1.2777635275681223
2030-03-31,1.081374213057558
2030-04-30,1.027834482846842
2030-05-31,0.8592590443981909
2030-06-30,-0.33212024329587286
2030-07-31,-0.43526397172381925
2030-08-31,-1.0944114625360495
2030-09-30,-0.5247412011995957
2030-10-31,-0.508011201556314
2030-11-30,0.10705167219793299
2030-12-31,0.7205477860012109
2031-01-31,1.6099526175751264
2031-02-28,2.2335727376870307
2031-03-31,2.2608645882011484
2031-04-30,2.3363049783175347
2031-05-31,2.639093867193254
2031-06-30,2.0735642467027686
2031-07-31,1.6207168693581684
2031-08-31,1.0511817051669632
2031-09-30,0.6597036471285032
2031-10-31,0.6576930327357793
2031-11-30,0.5777144734798827
2031-12-31,1.1058321071907586
2032-01-31,1.328379666701942
2032-02-29,1.3631512999519684
2032-03-31,1.174226933621565
2032-04-30,1.1165013182177859
2032-05-31,0.5942599422687077
2032-06-30,0.38506807439861146
2032-07-31,-0.21568385770811194
2032-08-31,-0.7583051592265702
2032-09-30,-0.25451185512970453
2032-10-31,-0.07108759023603106
2032-11-30,0.3994419276271487
2032-12-31,1.0951117307609533
2033-01-31,1.9500451102390284
